"P1_DEPARTAMENTO";"Energia";"Gas_red";"Y";"N_hogar";"Jefe_sex";"Jefe_edad";"menores";"Jefe_educ_sec";"Jefe_educ_ter";"avg_edad";"Casa";"Apartamento";"Habitacion";"Casa_Ind";"ln_PERCAPITA"
"70";1;0;4;4;2;41;2;0;0;23.5;1;0;0;0;11.4528215409005
"50";1;0;4;1;1;40;0;0;0;40;1;0;0;0;14.248702370335
"50";1;0;4;4;1;29;2;1;0;15.75;1;0;0;0;12.8802918162046
"70";1;0;6;3;2;41;1;1;0;24.3333333333333;1;0;0;0;12.5265445408049
"95";1;0;6;1;1;67;0;0;0;67;0;0;1;0;12.8992198260901
"73";1;1;2;2;2;58;0;0;0;49;1;0;0;0;12.4292161968444
"47";1;0;4;3;2;57;1;1;0;43;1;0;0;0;9.53884443894822
"50";1;0;4;4;2;33;2;0;0;25;1;0;0;0;13.1639850520951
"47";1;0;6;4;2;38;3;0;0;17;1;0;0;0;12.1393094293705
"47";1;0;6;1;1;69;0;0;0;69;1;0;0;0;13.7536351542462
"17";1;0;4;1;2;86;0;0;0;86;1;0;0;0;12.5184473305723
"47";1;0;1;6;2;32;4;0;0;18.5;1;0;0;0;11.7090403438965
"50";1;0;4;1;1;88;0;0;0;88;1;0;0;0;12.7892189308758
"73";1;1;2;2;1;28;0;0;1;44;1;0;0;0;14.1519827945855
"47";1;1;2;5;2;48;0;0;0;35.8;1;0;0;0;12.115418277262
"47";1;1;2;3;1;58;0;0;0;46.3333333333333;1;0;0;0;12.8866410438833
"47";1;0;1;1;2;78;0;0;0;78;1;0;0;0;12.2548628096996
"47";1;0;6;2;1;65;0;0;0;65;1;0;0;0;13.0578248562668
"47";1;1;2;2;2;62;0;0;0;62.5;1;0;0;0;15.2505950832536
"47";1;1;2;2;1;63;0;0;0;62.5;1;0;0;0;13.2949151426025
"47";1;0;6;2;1;72;0;0;0;48.5;1;0;0;0;12.2548628096996
"95";1;0;6;4;1;34;2;1;0;18.25;1;0;0;0;12.8696193563138
"18";1;0;4;2;1;57;0;1;0;61.5;1;0;0;0;13.407542319638
"17";1;1;2;2;1;78;0;0;0;74.5;1;0;0;0;13.3653095560147
"18";1;0;4;2;2;63;0;0;0;76.5;1;0;0;0;13.5965250167987
"18";1;0;4;4;1;40;2;0;0;26.25;1;0;0;0;12.4490188241406
"47";0;0;6;3;1;28;1;1;0;18.3333333333333;1;0;0;0;11.5929681726438
"73";1;1;2;2;1;68;0;1;0;64.5;1;0;0;0;12.6003644530402
"73";1;1;2;2;2;63;0;1;0;42.5;1;0;0;0;13.5633028737062
"18";1;0;4;3;1;62;0;1;0;74;1;0;0;0;11.6906066422077
"18";1;0;4;4;1;34;2;0;1;16.75;1;0;0;0;12.8593739175429
"18";1;0;4;4;1;40;2;1;0;24;1;0;0;0;13.9767787055604
"15";1;1;5;4;1;66;0;0;0;59.75;1;0;0;0;11.5929681726438
"91";1;0;6;3;1;63;0;0;0;61.6666666666667;0;0;0;1;13.4100454498561
"15";1;1;2;3;2;22;1;1;0;17;1;0;0;0;12.9400418206104
"91";1;0;6;7;1;39;4;0;0;21.5714285714286;1;0;0;0;11.7197460422525
"95";1;0;4;2;1;43;0;0;0;44;1;0;0;0;11.5129254649702
"95";1;0;6;3;1;29;0;0;1;43;1;0;0;0;12.4021875244565
"66";1;0;6;5;1;72;1;0;0;40;1;0;0;0;12.8221587799537
"15";1;0;4;1;1;54;0;0;0;54;1;0;0;0;13.0170028617465
"50";1;0;4;2;2;54;0;0;0;60;1;0;0;0;12.3602233253574
"73";1;0;4;3;1;25;1;0;0;18.3333333333333;1;0;0;0;12.8641681880312
"50";1;1;2;3;2;59;2;1;0;24.6666666666667;1;0;0;0;10.9326108149068
"18";1;0;4;2;1;60;0;0;0;59;1;0;0;0;13.6326888761286
"50";1;1;2;4;1;25;2;1;0;15;1;0;0;0;13.3342437364398
"66";1;0;6;3;1;45;1;0;0;26.6666666666667;1;0;0;0;12.3238556811866
"18";1;0;4;3;1;60;1;1;0;38.6666666666667;1;0;0;0;13.0953347050164
"13";1;0;4;3;2;21;1;0;0;16.6666666666667;1;0;0;0;12.493754717982
"13";1;0;4;1;1;75;0;0;0;75;1;0;0;0;13.2977162648822
"73";1;0;4;2;1;74;0;0;0;71.5;1;0;0;0;13.4347380624465
"18";1;0;4;1;2;78;0;0;0;78;1;0;0;0;12.1281111040605
"66";1;0;6;3;2;23;1;1;0;18;1;0;0;0;11.9183905730784
"11";1;1;2;4;1;46;2;0;1;22.5;0;1;0;0;13.2289731124626
"11";1;1;2;2;1;44;0;0;0;60.5;1;0;0;0;13.2707833825226
